,protocol,date,TVL,Fee,Supply,Staking,Unique Addresses,User Growth,price,amount,vol,New Addresses,Active Addresses,Zero Addresses,Number of Transactions,volume,Unnamed: 3,code quality and transparency,biggest drawdown,Correlation
3021,gns,2022-02-17,119381785.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3280104.259,,7.0,1000953659.17838,5
3022,gns,2022-02-17,345908233.75645,0,25229.732331462703,0,68.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3280104.259,,7.0,1000953659.17838,5
3023,gns,2022-02-18,120714703.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3178190.663,,7.0,1000953659.17838,5
3024,gns,2022-02-18,345140842.04325,0,4972.0931795943325,0,71.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3178190.663,,7.0,1000953659.17838,5
3025,gns,2022-02-19,129195087.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,5172893.911,,7.0,1000953659.17838,5
3026,gns,2022-02-19,343371162.44417,0,259304.85732746325,0,66.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,5172893.911,,7.0,1000953659.17838,5
3027,gns,2022-02-20,131623321.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3247220.846,,7.0,1000953659.17838,5
3028,gns,2022-02-20,342711764.06667,0,259304.85732746325,0,85.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3247220.846,,7.0,1000953659.17838,5
3029,gns,2022-02-21,128922479.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3787250.383,,7.0,1000953659.17838,5
3030,gns,2022-02-21,347692074.71618,0,259304.85732746325,0,78.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,3787250.383,,7.0,1000953659.17838,5
